Rank,DMA,tv_homes,adwords_pause,rev_before,rev_after
83,Harlingen-Wslco-Brnsvl-McA,331520,0,2202594,2531280
84,Paducah-Cape Girard-Harsbg,330920,1,2647901,2645853
85,Colorado Springs-Pueblo,327530,1,2536323,2524933
86,Shreveport,321190,1,2757144,2232409
87,Syracuse,320830,0,2503203,2632429
88,Champaign&Sprngfld-Decatur,315780,1,2717278,2376624
89,Savannah,315400,0,2824059,2566692
90,Cedar Rapids-Wtrlo-IWC&Dub,311260,0,2445007,2243552
91,"Charleston, SC",309250,0,2666266,3039046
92,Chattanooga,305340,0,2452670,2560713
93,El Paso (Las Cruces),295070,0,2362000,2457281
94,Baton Rouge,293610,1,2956898,1955924
95,"Jackson, MS",284110,0,2392279,2120511
96,Burlington-Plattsburgh,283080,1,2448783,1811869
97,Myrtle Beach-Florence,277560,0,2391241,2144238
98,South Bend-Elkhart,277380,0,2458361,2118251
99,"Tri-Cities, TN-VA",273310,0,1981543,2263807
100,Greenville-N.Bern-Washngtn,265820,0,2180981,1805535
101,Ft. Smith-Fay-Sprngdl-Rgrs,265520,0,2346613,1789945
102,Boise,261140,1,2314277,1668907
103,Davenport-R.Island-Moline,259590,0,2531021,2138301
104,Reno,254040,0,2167504,1822708
105,Evansville,250120,0,2146682,1908749
106,Johnstown-Altoona-St Colge,248880,0,2153178,1887349
107,Lincoln & Hastings-Krny,248550,0,2109129,1834904
108,Augusta-Aiken,240270,0,2108406,1943166
109,Tallahassee-Thomasville,239650,0,1930283,1728163
110,Ft. Wayne,238610,0,2025355,1988763
111,Springfield-Holyoke,231600,0,1786658,1675841
112,Lansing,230640,0,2315465,1649538
113,Sioux Falls (Mitchell),229420,1,1822547,1578876
114,Tyler-Longview (Lfkn&Ncgd),223590,0,2018388,1866722
115,Youngstown,220670,0,1778786,1788246
116,Fargo,218360,0,1717388,2063337
117,Eugene,218200,1,1859270,1346422
118,Yakima-Pasco-Rchlnd-Knnwck,215940,0,2000199,1682587
119,Macon,211110,1,1886057,1735937
120,Peoria-Bloomington,209320,0,1977244,1310719
121,Traverse City-Cadillac,209210,1,2091890,1563596
122,Montgomery-Selma,207020,0,1639730,1561599
123,"Lafayette, LA",203470,0,1665049,1614133
124,Monterey-Salinas,202080,1,1607083,1450456
125,Bakersfield,200460,0,1679556,1154911
126,SantaBarbra-SanMar-SanLuOb,195870,0,1651927,1383843
127,Wilmington,189830,1,1599152,1407945
128,Corpus Christi,188210,1,1547573,1339410
129,La Crosse-Eau Claire,185920,0,1602760,1431886
130,"Columbus, GA (Opelika, AL)",183620,1,1455251,1459470
131,Chico-Redding,171710,0,1710122,1363734
132,Amarillo,162010,1,1069420,1147723
133,Columbus-Tupelo-W Pnt-Hstn,161740,0,1298737,1445353
134,Wausau-Rhinelander,158720,1,1301935,1256951
135,Medford-Klamath Falls,155130,1,1261725,1059150
136,Salisbury,154900,1,1247825,1325081
137,Columbia-Jefferson City,154210,0,1435137,1339877
138,Rockford,152400,1,1437693,1246234
139,Duluth-Superior,150930,0,1141507,1068339
140,Monroe-El Dorado,148210,0,1341168,1111215
141,Palm Springs,147650,0,1161426,1232806
142,Lubbock,143380,0,1212872,1326405
143,Beaumont-Port Arthur,143130,0,1102922,1092808
144,Topeka,142240,0,1163225,1159255
145,Odessa-Midland,141600,0,1080013,1107107
146,Minot-Bsmrck-Dcknsn (Wlstn),136930,1,1083573,1033192
147,Wichita Falls & Lawton,132830,1,1038865,810661
148,Sioux City,131210,0,1056502,995400
149,Panama City,130350,0,1066788,849833
150,Rochestr-Mason City-Austin,129600,0,934635,907449
151,Anchorage,125510,0,1203727,1033537
152,Erie,125340,0,886386,1032351
153,Joplin-Pittsburg,121260,0,1017390,862540
154,"Albany, GA",120240,0,1064585,843330
155,Biloxi-Gulfport,116300,0,833230,899645
156,Gainesville,114400,0,827323,787746
157,Wheeling-Steubenville,114140,0,1131282,880352
158,Sherman-Ada,112160,0,897283,754398
159,Bangor,111070,1,845682,799627
160,Terre Haute,110480,0,954960,798632
161,Binghamton,106510,0,783374,747126
162,Idaho Fals-Pocatllo (Jcksn),101030,0,750196,624118
163,Missoula,100830,0,833369,718454
164,Abilene-Sweetwater,100790,0,826921,785036
165,Yuma-El Centro,99710,0,816908,698376
166,Bluefield-Beckley-Oak Hill,98530,0,791416,685350
167,Hattiesburg-Laurel,96000,1,825509,739677
168,Billings,91950,0,695407,902263
169,Rapid City,86610,0,681669,750831
170,Lake Charles,85970,0,679684,557756
171,Dothan,85140,1,674538,780109
172,Utica,84750,0,690065,740374
173,Clarksburg-Weston,84680,0,773294,564200
174,Quincy-Hannibal-Keokuk,84040,0,671962,666843
175,Harrisonburg,84030,0,734380,629576
176,"Jackson, TN",78940,0,648193,648822
177,Bowling Green,72620,0,578272,496948
178,"Alexandria, LA",72530,1,550123,626856
178,Elmira (Corning),72530,1,719002,552892
180,Marquette,71920,0,581177,549671
181,Watertown,71180,1,455201,521917
182,Charlottesville,70490,1,572976,520757
183,Jonesboro,69470,0,606520,503268
184,Laredo,65330,0,528493,471822
185,"Bend, OR",63720,0,474814,452391
186,Butte-Bozeman,63320,1,537959,440888
187,"Lafayette, IN",61520,0,540123,395385
188,Grand Junction-Montrose,61390,0,511980,500327
189,Lima,56850,0,399954,426459
190,Meridian,56790,0,453044,380018
191,Twin Falls,55050,1,523190,443508
192,Great Falls,53210,0,403769,492799
193,Parkersburg,51240,0,437935,398412
194,Greenwood-Greenville,50270,0,463038,345315
195,San Angelo,50220,0,432552,369046
196,Cheyenne-Scottsbluff,48930,0,375567,373292
197,Eureka,47550,1,375307,319727
198,Mankato,46920,1,380609,322957
199,Casper-Riverton,43760,0,358430,318108
200,St. Joseph,38780,1,363758,280097
201,Ottumwa-Kirksville,37440,0,336463,257949
202,Victoria,28500,0,231615,195481
203,Fairbanks,27970,1,221071,206574
204,Zanesville,27650,0,218737,156528
205,Helena,25720,0,215510,177182
206,Presque Isle,22340,1,183471,173046
207,Juneau,18730,0,129144,159878
208,Alpena,14280,0,112771,106049
209,North Platte,12010,0,93737,97450
210,Glendive,3630,0,28152,25653
